Species name,Seed plant/Spore plant,Woody/Herbaceous,Broadleaved tree/Coniferous tree,Evergreen tree/Deciduous tree,Legume/Non-legume,Annual herb/Perennial herb,Grass/Forb/Shrub/Tree,C3/C4,Tissue types,mean_control,mean_treatment,SD_control,SD_treatment,N_control,N_treatment,units,Reference,N amount (g m-2yr-1),MAT,MAP(mm),Latitude,Other resources
Agrostis capillaris,Seedplant,Herbaceous,*,*,*,Perennial,Grass,*,shoot,1.4,1.9,0.5,0.5,6,6,g,Bardgett RD et al. 1999,3.5,*,*,*,Control
Agrostis capillaris,Seedplant,Herbaceous,*,*,*,Perennial,Grass,*,shoot,1.4,3.4,0.7,1.1,8,8,g,De Deyn GB et al. 2004,*,*,*,*,Control
Agrostis capillaris,Seedplant,Herbaceous,*,*,*,Perennial,Grass,*,shoot,1.4,5.9,0.7,3.8,8,8,g,De Deyn GB et al. 2004,*,*,*,*,Control
Agrostis scabra,Seedplant,Herbaceous,*,*,*,Perennial,Grass,*,aboveground,38.5,140.1,33.1,38.1,6,6,g m-2,Tilman GD 1984,13.6,6.7,765,45,Control
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,branch/twig,5381.9,5143.1,5084.5,1160,3,3,g,Shujauddin et al. 2003,5,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,leaf,3180.2,3189.6,3389.7,1780,3,3,g,Shujauddin et al. 2003,5,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,root,5626.5,5647.7,9407.9,440,3,3,g,Shujauddin et al. 2003,5,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,wood,35968.1,34982.9,21609.3,260,3,3,g,Shujauddin et al. 2003,5,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,wholeplant,49665.3,49176.1,25849.9,1000,3,3,g,Shujauddin et al. 2003,5,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,branch/twig,5381.9,5137.2,5084.5,440,3,3,g,Shujauddin et al. 2003,10,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,leaf,3180.2,2945.7,3389.7,260,3,3,g,Shujauddin et al. 2003,10,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,root,5626.5,5404.1,9407.9,1780,3,3,g,Shujauddin et al. 2003,10,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,wood,35968.1,34493.7,21609.3,1180,3,3,g,Shujauddin et al. 2003,10,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,wholeplant,49665.3,48681.4,25849.9,2,3,3,g,Shujauddin et al. 2003,10,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,branch/twig,5381.9,5647.7,5084.5,1000,3,3,g,Shujauddin et al. 2003,15,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,leaf,3180.2,2458.5,3389.7,1180,3,3,g,Shujauddin et al. 2003,15,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,root,5626.5,6135.3,9407.9,1160,3,3,g,Shujauddin et al. 2003,15,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,wood,35968.1,34982.9,21609.3,2,3,3,g,Shujauddin et al. 2003,15,27.5,3258,10.1,Facilitated
Ailanthus triphysa,Seedplant,Woody,Broadleaved,Evergreen,Legume,*,Tree,*,wholeplant,49665.3,48931.5,25849.9,440,3,3,g,Shujauddin et al. 2003,15,27.5,3258,10.1,Facilitated
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,1.6,1.4,0.3,0.4,3,3,g,Khurana and Singh 2004,3,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,1.6,1.6,0.3,0.4,3,3,g,Khurana and Singh 2004,3,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,2.1,6,0.6,0.6,3,3,g,Khurana and Singh 2004,6,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,2.4,4.8,0.5,0.5,3,3,g,Khurana and Singh 2004,6,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,0.7,1.4,0.3,0.5,3,3,g,Khurana and Singh 2004,6,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,0.7,1.6,0.3,0.3,3,3,g,Khurana and Singh 2004,6,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,0.7,0.9,0.3,0.2,3,3,g,Khurana and Singh 2004,6,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,2.4,6,0.5,0.6,3,3,g,Khurana and Singh 2004,12,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,2.1,6,0.6,0.9,3,3,g,Khurana and Singh 2004,12,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,2.4,6,0.5,0.6,3,3,g,Khurana and Singh 2004,12,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,branch/twig,2.1,3.6,0.6,0.5,3,3,g,Khurana and Singh 2004,12,20,1145,25.2,Control
Albizia procera,Seedplant,Woody,Broadleaved,Deciduous,Legume,*,Tree,*,root,1.6,1.2,0.3,0.3,3,3,g,Khurana and Singh 2004,12,20,1145,25.2,Control
Amaranthus cruentus,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,wholeplant,0,0.5,0.1,0,9,9,g,Willey N 2005,*,*,*,*,Control
Amaranthus cruentus,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,wholeplant,0,0,0.1,1,9,9,g,Willey N 2005,*,*,*,*,Control
Amaranthus cruentus,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,wholeplant,0,0,0.1,0.4,9,9,g,Willey N 2005,*,*,*,*,Control
Amaranthus hypochondriacus,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,wholeplant,715,324.7,597.9,768.7,3,3,g m-2,Fridley JD et al. 2003,90,16.4,*,42.3,P
Amaranthus hypochondriacus,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,wholeplant,871.2,653.4,619.3,669.1,3,3,g m-2,Fridley JD et al. 2003,90,16.4,*,42.3,P
Ambrosia artemisiifolia,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,aboveground,225.2,1157.3,76.1,342.5,6,6,g m-2,Vitousek 1983,90,12.3,1143,39.2,P
Ambrosia artemisiifolia,Seedplant,Herbaceous,*,*,Non-legume,Annual,Forb,*,aboveground,217.5,598.1,57.1,133.2,6,6,g m-2,Vitousek 1983,90,12.3,1143,39.2,P
